titleId	conceptId	name	contentId	region	publisherId	psVR	pS4Pro	pS5BackCompat
CUSA16413_00	234455	サムライジャック：時空の戦い	JP0388-CUSA16413_00-SAMURAIJACKJP000	JP	JP0388		Supported	Compatible
CUSA16416_00	232084	Divinity: Original Sin 2 - Definitive Edition	JP0365-CUSA16416_00-ORIGINALSIN2DE01	JP	JP0365		Supported	Compatible
CUSA16425_00	228958	BEATS FEVER　VRリズムステージ	JP0202-CUSA16425_00-BEATSFEVER0000JP	JP	JP0202	Required	Supported	Compatible
CUSA16426_00	234545	Gunvolt Chronicles: Luminous Avenger iX	JP1368-CUSA16426_00-GVIXPS4APPJP0000	JP	JP1368		Supported	Compatible
CUSA16435_00	234549	伊勢志摩ミステリー案内　偽りの黒真珠	JP1178-CUSA16435_00-0000000ISHESHIMA	JP	JP1178		Supported	Compatible
CUSA16436_00	234055	SAMURAI SPIRITS 体験版	JP0576-CUSA16436_00-SAMURAITRIAL0001	JP	JP0576		Supported	
CUSA16440_00	234568	FIFA 20 体験版	JP0006-CUSA16440_00-FIFA20DEMOKIOSK0	JP	JP0006		Supported	
CUSA16441_00	234568	FIFA 20 体験版	JP0006-CUSA16441_00-FIFA2020DEMOGAME	JP	JP0006		Supported	
CUSA16451_00	235285	ペルソナ５ スクランブル　ザ ファントム ストライカーズ	JP0005-CUSA16451_00-MASQUERADE000000	JP	JP0005		Supported	Compatible
CUSA16452_00	234555	魔界戦記ディスガイア４ Return	JP0404-CUSA16452_00-DISGAEA4RETURN00	JP	JP0404		Supported	Compatible
CUSA16459_00	227163	Late Shift	JP1799-CUSA16459_00-LATESHIFTSIEJCIR	JP	JP1799		Supported	Compatible
CUSA16460_00	231733	Splash Blast Panic	JP1799-CUSA16460_00-SPLASHSIEJCIRCLE	JP	JP1799		Supported	Compatible
CUSA16464_00	234307	はつゆきさくら	JP0741-CUSA16464_00-PS4GAMEAPP000001	JP	JP0741		Supported	Compatible
CUSA16478_00	233374	eFootball ウイニングイレブン 2020 体験版	JP0101-CUSA16478_00-PES2020DEMO00000	JP	JP0101		Supported	
CUSA16483_00	234307	はつゆきさくら 体験版	JP0741-CUSA16483_00-PS4GAMEAPP000001	JP	JP0741		Supported	
