titleId	conceptId	name	contentId	region	publisherId
PPSA04838_00	10001111	Pumpkin Jack	JP5134-PPSA04838_00-PUMPKINJACKPS5JP	JP	JP5134
PPSA04839_00	10003578	Cards of the Dead	UP3252-PPSA04839_00-JANDUSOFT0000001	UP	UP3252
PPSA04840_00	10003539	白き鋼鉄のＸ ２	JP1368-PPSA04840_00-LAIX2PSAPP000000	JP	JP1368
PPSA04841_00	10003578	Cards of the Dead	EP3111-PPSA04841_00-JANDUSOFT0000001	EP	EP3111
PPSA04842_00	10003539	Gunvolt Chronicles: Luminous Avenger iX 2	UP1104-PPSA04842_00-LAIX2PSAPP000000	UP	UP1104
PPSA04843_00	10003539	Gunvolt Chronicles: Luminous Avenger iX 2	EP1095-PPSA04843_00-LAIX2PSAPP000000	EP	EP1095
PPSA04844_00	10003581	Smoots Golf	UP3252-PPSA04844_00-JANDUSOFT0000001	UP	UP3252
PPSA04845_00	10003581	Smoots Golf	EP3111-PPSA04845_00-JANDUSOFT0000001	EP	EP3111
PPSA04846_00	10001647	Bullet Beat			
PPSA04847_00	10001647	Bullet Beat			
PPSA04849_00	10003203	Akinofa	UP1626-PPSA04849_00-AKINOFAGAME00000	UP	UP1626
PPSA04850_00	10003203	Akinofa	EP1612-PPSA04850_00-AKINOFAGAME00000	EP	EP1612
PPSA04851_00	10003203	Akinofa	HP1743-PPSA04851_00-AKINOFAGAME00000	HP	HP1743
PPSA04862_00	10003601	Cricket 22	EP4249-PPSA04862_00-CRICKET220000000	EP	EP4249
PPSA04864_00	10002245	The Riftbreaker: Prologue	UP4380-PPSA04864_00-8234833089636751	UP	UP4380
PPSA04865_00	10002245	The Riftbreaker: Prologue	EP4380-PPSA04865_00-2281501172119380	EP	EP4380
PPSA04866_00	10003575	The Last Oricru			
PPSA04867_00	10003575	The Last Oricru			
PPSA04868_00	10002921	Chernobylite	JP5414-PPSA04868_00-CHERNOBYLPS5SIEJ	JP	JP5414
PPSA04869_00	10003583	Lawn Mowing Simulator	EP4395-PPSA04869_00-LAWNMOWINGSIMPS5	EP	EP4395
PPSA04870_00	10003583	Lawn Mowing Simulator	UP4395-PPSA04870_00-LAWNMOWINGSIMPS5	UP	UP4395
PPSA04871_00	10002245	The Riftbreaker	JP0507-PPSA04871_00-8580029340232176	JP	JP0507
